DATE,T10Y3M
1982-01-08,2.3900000000000000
1982-01-15,2.0320000000000000
1982-01-22,1.2680000000000000
1982-01-29,1.01400000000000000000
1982-02-05,0.04800000000000000000
1982-02-12,-0.13500000000000000000
1982-02-19,-0.50000000000000000000
1982-02-26,0.98600000000000000000
1982-03-05,0.77800000000000000000
1982-03-12,0.75200000000000000000
1982-03-19,0.44200000000000000000
1982-03-26,0.49600000000000000000
1982-04-02,0.12200000000000000000
1982-04-09,0.35750000000000000000
1982-04-16,0.47000000000000000000
1982-04-23,0.73000000000000000000
1982-04-30,0.65200000000000000000
1982-05-07,0.41800000000000000000
1982-05-14,0.48000000000000000000
1982-05-21,1.10000000000000000000
1982-05-28,1.6360000000000000
1982-06-04,1.2550000000000000
1982-06-11,1.3340000000000000
1982-06-18,1.2960000000000000
1982-06-25,1.17600000000000000000
1982-07-02,1.04200000000000000000
1982-07-09,1.4825000000000000
1982-07-16,1.7200000000000000
1982-07-23,2.5000000000000000
1982-07-30,2.8620000000000000
1982-08-06,3.4460000000000000
1982-08-13,3.4940000000000000
1982-08-20,4.4580000000000000
1982-08-27,4.7640000000000000
1982-09-03,4.0880000000000000
1982-09-10,3.9475000000000000
1982-09-17,4.2700000000000000
1982-09-24,4.3700000000000000
1982-10-01,4.0020000000000000
1982-10-08,3.1260000000000000
1982-10-15,2.8525000000000000
1982-10-22,2.8900000000000000
1982-10-29,2.6760000000000000
1982-11-05,2.4425000000000000
1982-11-12,2.1850000000000000
1982-11-19,1.9420000000000000
1982-11-26,2.2975000000000000
1982-12-03,2.2780000000000000
1982-12-10,2.3400000000000000
1982-12-17,2.4980000000000000
1982-12-24,2.3925000000000000
1982-12-31,2.1480000000000000
1983-01-07,2.1740000000000000
1983-01-14,2.4080000000000000
1983-01-21,2.4020000000000000
1983-01-28,2.3560000000000000
1983-02-04,2.4340000000000000
1983-02-11,2.4180000000000000
1983-02-18,2.3020000000000000
1983-02-25,2.2225000000000000
1983-03-04,1.9880000000000000
1983-03-11,1.9600000000000000
1983-03-18,1.9140000000000000
1983-03-25,1.7360000000000000
1983-04-01,1.6375000000000000
1983-04-08,1.7600000000000000
1983-04-15,1.9140000000000000
1983-04-22,1.9620000000000000
1983-04-29,1.9100000000000000
1983-05-06,1.8740000000000000
1983-05-13,1.8820000000000000
1983-05-20,1.9980000000000000
1983-05-27,1.7920000000000000
1983-06-03,1.8875000000000000
1983-06-10,1.7660000000000000
1983-06-17,1.6820000000000000
1983-06-24,1.5240000000000000
1983-07-01,1.7820000000000000
1983-07-08,1.8200000000000000
1983-07-15,1.9060000000000000
1983-07-22,1.8980000000000000
1983-07-29,2.0740000000000000
1983-08-05,2.1540000000000000
1983-08-12,2.1640000000000000
1983-08-19,1.9540000000000000
1983-08-26,2.0620000000000000
1983-09-02,2.3120000000000000
1983-09-09,2.2375000000000000
1983-09-16,2.2480000000000000
1983-09-23,2.2840000000000000
1983-09-30,2.3520000000000000
1983-10-07,2.3740000000000000
1983-10-14,2.4525000000000000
1983-10-21,2.6060000000000000
1983-10-28,2.6880000000000000
1983-11-04,2.8340000000000000
1983-11-11,2.6800000000000000
1983-11-18,2.5460000000000000
1983-11-25,2.4600000000000000
1983-12-02,2.3920000000000000
1983-12-09,2.5000000000000000
1983-12-16,2.4760000000000000
1983-12-23,2.4660000000000000
1983-12-30,2.4675000000000000
1984-01-06,2.4850000000000000
1984-01-13,2.4760000000000000
1984-01-20,2.3540000000000000
1984-01-27,2.3400000000000000
1984-02-03,2.3660000000000000
1984-02-10,2.2920000000000000
1984-02-17,2.3925000000000000
1984-02-24,2.4225000000000000
1984-03-02,2.5140000000000000
1984-03-09,2.5260000000000000
1984-03-16,2.4960000000000000
1984-03-23,2.3160000000000000
1984-03-30,2.3480000000000000
1984-04-06,2.4800000000000000
1984-04-13,2.4720000000000000
1984-04-20,2.5225000000000000
1984-04-27,2.7280000000000000
1984-05-04,2.7840000000000000
1984-05-11,2.8600000000000000
1984-05-18,3.2160000000000000
1984-05-25,3.4160000000000000
1984-06-01,3.7175000000000000
1984-06-08,3.2660000000000000
1984-06-15,3.0840000000000000
1984-06-22,3.2460000000000000
1984-06-29,3.5840000000000000
1984-07-06,3.4800000000000000
1984-07-13,3.0040000000000000
1984-07-20,2.7920000000000000
1984-07-27,2.4380000000000000
1984-08-03,1.9740000000000000
1984-08-10,1.7620000000000000
1984-08-17,1.9800000000000000
1984-08-24,1.7900000000000000
1984-08-31,1.7200000000000000
1984-09-07,1.7650000000000000
1984-09-14,1.7080000000000000
1984-09-21,1.6320000000000000
1984-09-28,1.8100000000000000
1984-10-05,1.9000000000000000
1984-10-12,1.9150000000000000
1984-10-19,1.9860000000000000
1984-10-26,2.1500000000000000
1984-11-02,2.3140000000000000
1984-11-09,2.7425000000000000
1984-11-16,2.7525000000000000
1984-11-23,2.5775000000000000
1984-11-30,2.6800000000000000
1984-12-07,2.8400000000000000
1984-12-14,3.0440000000000000
1984-12-21,3.2880000000000000
1984-12-28,3.4875000000000000
1985-01-04,3.5425000000000000
1985-01-11,3.4800000000000000
1985-01-18,3.5040000000000000
1985-01-25,3.2550000000000000
1985-02-01,2.9580000000000000
1985-02-08,2.9100000000000000
1985-02-15,2.8750000000000000
1985-02-22,2.9725000000000000
1985-03-01,3.0500000000000000
1985-03-08,2.8580000000000000
1985-03-15,2.9880000000000000
1985-03-22,3.1040000000000000
1985-03-29,3.1800000000000000
1985-04-05,3.2575000000000000
1985-04-12,3.2100000000000000
1985-04-19,3.1120000000000000
1985-04-26,3.2360000000000000
